Invoice Ref,Account Name,Inv Amt (INR),Due Dt,Days Late,Last Touch,Collector,Payment Risk,A/R State,Region,HQ Cluster,Account Segment,Plan Type,Escalation Note,Promised Dt,Source URL
MC-AR-26-1001,Altura Growth Studio San Francisco,78000,2026-04-04,0,2026-04-03,,Low,Paid,West,San Francisco,Startup,Starter Plan,Closed after subscription remittance confirmation,,https://missioncontrolhq.ai/
MC-AR-26-1002,Northstar RevOps New York,118100,2026-03-26,9,2026-04-01,Arjun,Low,Overdue,North,New York,Mid-Market SaaS,Annual Enterprise,Vendor onboarding blocked on tax or banking documents,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1003,Cascade Capital Austin,158200,2026-03-23,12,2026-03-31,Megha,Low,Overdue,South,Austin,Agency,Onboarding Fee,Card failure reported on renewal invoice; retry pending,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1004,PixelForge Agency Berlin,198300,2026-03-20,15,2026-03-30,Karan,Medium,Overdue,East,Berlin,VC Platform,Starter Plan,Customer requested revised invoice split across entities,,https://missioncontrolhq.ai/
MC-AR-26-1005,Vector Labs Los Angeles,238400,2026-03-17,18,2026-03-29,Sana,Low,Overdue,West,Los Angeles,Enterprise Innovation,Annual Enterprise,Awaiting purchase order approval from finance ops,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1006,Apex GTM Systems Toronto,220500,2026-03-14,21,2026-03-28,Vikram,High,Overdue,North,Toronto,Startup,Onboarding Fee,Vendor onboarding blocked on tax or banking documents,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1007,Orbit Product Ops Miami,266400,2026-03-11,24,2026-03-27,,Medium,Overdue,South,Miami,Mid-Market SaaS,Starter Plan,Card failure reported on renewal invoice; retry pending,,https://missioncontrolhq.ai/
MC-AR-26-1008,Beacon Portfolio Services Amsterdam,306500,2026-03-10,25,2026-03-29,,Medium,Partial Payment,East,Amsterdam,Agency,Annual Enterprise,Base subscription paid; onboarding fee or overage balance remains open,2026-04-07,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1009,Summit AI Studio Seattle,346600,2026-03-05,30,2026-03-25,,Low,Overdue,West,Seattle,VC Platform,Onboarding Fee,Awaiting purchase order approval from finance ops,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1010,Driftline Ventures London,130200,2026-03-02,33,2026-04-02,Arjun,Medium,Overdue,North,London,Enterprise Innovation,Starter Plan,Vendor onboarding blocked on tax or banking documents,,https://missioncontrolhq.ai/
MC-AR-26-1011,Catalyst Automation Singapore,112300,2026-02-27,36,,Megha,High,Overdue,South,Singapore,Startup,Annual Enterprise,Card failure reported on renewal invoice; retry pending,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1012,SignalStack Cloud Sydney,152400,2026-03-10,25,2026-03-29,Karan,Medium,Promise to Pay,East,Sydney,Mid-Market SaaS,Onboarding Fee,Champion confirmed payment after PO or vendor onboarding completion,2026-04-08,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1013,Altura Growth Studio San Francisco,198300,2026-02-21,42,2026-03-30,Sana,Medium,Overdue,West,San Francisco,Agency,Starter Plan,Awaiting purchase order approval from finance ops,,https://missioncontrolhq.ai/
MC-AR-26-1014,Northstar RevOps New York,238400,2026-02-18,45,2026-03-29,Vikram,Low,Overdue,North,New York,VC Platform,Annual Enterprise,Vendor onboarding blocked on tax or banking documents,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1015,Cascade Capital Austin,278500,2026-03-14,21,2026-03-28,,Medium,Partial Payment,South,Austin,Enterprise Innovation,Onboarding Fee,Base subscription paid; onboarding fee or overage balance remains open,2026-04-08,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1016,PixelForge Agency Berlin,260600,2026-03-25,10,2026-03-27,,High,Overdue,East,Berlin,Startup,Starter Plan,Customer requested revised invoice split across entities,,https://missioncontrolhq.ai/
MC-AR-26-1017,Vector Labs Los Angeles,300700,2026-03-22,13,2026-03-26,,Low,Overdue,West,Los Angeles,Mid-Market SaaS,Annual Enterprise,Awaiting purchase order approval from finance ops,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1018,Apex GTM Systems Toronto,340800,2026-02-12,51,2026-03-22,Arjun,High,Disputed,North,Toronto,Agency,Onboarding Fee,Usage overage or contract scope disputed while finance reviews agent-run logs,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1019,Orbit Product Ops Miami,130200,2026-03-16,19,2026-04-02,Megha,Medium,Overdue,South,Miami,VC Platform,Starter Plan,Card failure reported on renewal invoice; retry pending,,https://missioncontrolhq.ai/
MC-AR-26-1020,Beacon Portfolio Services Amsterdam,170300,2026-04-04,0,2026-04-03,Karan,Low,Paid,East,Amsterdam,Enterprise Innovation,Annual Enterprise,Closed after subscription remittance confirmation,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1021,Summit AI Studio Seattle,152400,2026-03-10,25,,Sana,High,Overdue,West,Seattle,Startup,Onboarding Fee,Awaiting purchase order approval from finance ops,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1022,Driftline Ventures London,192500,2026-03-07,28,2026-03-27,Vikram,Medium,Partial Payment,North,London,Mid-Market SaaS,Starter Plan,Base subscription paid; onboarding fee or overage balance remains open,2026-04-09,https://missioncontrolhq.ai/
MC-AR-26-1023,Catalyst Automation Singapore,232600,2026-03-12,23,2026-03-30,,Medium,Promise to Pay,South,Singapore,Agency,Annual Enterprise,Champion confirmed payment after PO or vendor onboarding completion,2026-04-07,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1024,SignalStack Cloud Sydney,272700,2026-03-01,34,2026-03-28,,Low,Overdue,East,Sydney,VC Platform,Onboarding Fee,Customer requested revised invoice split across entities,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1025,Altura Growth Studio San Francisco,318600,2026-02-26,37,2026-03-27,,Medium,Overdue,West,San Francisco,Enterprise Innovation,Starter Plan,Awaiting purchase order approval from finance ops,,https://missioncontrolhq.ai/
MC-AR-26-1026,Northstar RevOps New York,300700,2026-02-23,40,2026-03-26,Arjun,High,Overdue,North,New York,Startup,Annual Enterprise,Vendor onboarding blocked on tax or banking documents,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1027,Cascade Capital Austin,340800,2026-02-20,43,2026-03-25,Megha,Low,Overdue,South,Austin,Mid-Market SaaS,Onboarding Fee,Card failure reported on renewal invoice; retry pending,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1028,PixelForge Agency Berlin,124400,2026-02-17,46,2026-04-02,Karan,Medium,Overdue,East,Berlin,Agency,Starter Plan,Customer requested revised invoice split across entities,,https://missioncontrolhq.ai/
MC-AR-26-1029,Vector Labs Los Angeles,164500,2026-03-11,24,2026-03-26,Sana,Medium,Partial Payment,West,Los Angeles,VC Platform,Annual Enterprise,Base subscription paid; onboarding fee or overage balance remains open,2026-04-10,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1030,Apex GTM Systems Toronto,204600,2026-03-24,11,2026-03-31,Vikram,Low,Overdue,North,Toronto,Enterprise Innovation,Onboarding Fee,Vendor onboarding blocked on tax or banking documents,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1031,Orbit Product Ops Miami,192500,2026-03-21,14,,,High,Overdue,South,Miami,Startup,Starter Plan,Card failure reported on renewal invoice; retry pending,,https://missioncontrolhq.ai/
MC-AR-26-1032,Beacon Portfolio Services Amsterdam,232600,2026-03-18,17,2026-03-29,,Low,Overdue,East,Amsterdam,Mid-Market SaaS,Annual Enterprise,Customer requested revised invoice split across entities,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1033,Summit AI Studio Seattle,272700,2026-03-15,20,2026-03-28,,Low,Overdue,West,Seattle,Agency,Onboarding Fee,Awaiting purchase order approval from finance ops,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1034,Driftline Ventures London,312800,2026-03-14,21,2026-03-31,Arjun,Medium,Promise to Pay,North,London,VC Platform,Starter Plan,Champion confirmed payment after PO or vendor onboarding completion,2026-04-06,https://missioncontrolhq.ai/
MC-AR-26-1035,Catalyst Automation Singapore,352900,2026-02-16,47,2026-03-20,Megha,High,Disputed,South,Singapore,Enterprise Innovation,Annual Enterprise,Usage overage or contract scope disputed while finance reviews agent-run logs,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1036,SignalStack Cloud Sydney,335000,2026-03-15,20,2026-03-25,Karan,Medium,Partial Payment,East,Sydney,Startup,Onboarding Fee,Base subscription paid; onboarding fee or overage balance remains open,2026-04-11,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1037,Altura Growth Studio San Francisco,124400,2026-03-03,32,2026-04-02,Sana,Medium,Overdue,West,San Francisco,Mid-Market SaaS,Starter Plan,Awaiting purchase order approval from finance ops,,https://missioncontrolhq.ai/
MC-AR-26-1038,Northstar RevOps New York,164500,2026-02-28,35,2026-04-01,Vikram,Low,Overdue,North,New York,Agency,Annual Enterprise,Vendor onboarding blocked on tax or banking documents,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1039,Cascade Capital Austin,204600,2026-04-04,0,2026-04-03,Riya,Low,Paid,South,Austin,VC Platform,Onboarding Fee,Closed after subscription remittance confirmation,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1040,PixelForge Agency Berlin,244700,2026-02-22,41,2026-03-30,,Medium,Overdue,East,Berlin,Enterprise Innovation,Starter Plan,Customer requested revised invoice split across entities,,https://missioncontrolhq.ai/
MC-AR-26-1041,Vector Labs Los Angeles,226800,2026-02-19,44,,,High,Overdue,West,Los Angeles,Startup,Annual Enterprise,Awaiting purchase order approval from finance ops,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1042,Apex GTM Systems Toronto,266900,2026-03-29,6,2026-03-28,Arjun,Low,Overdue,North,Toronto,Mid-Market SaaS,Onboarding Fee,Vendor onboarding blocked on tax or banking documents,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1043,Orbit Product Ops Miami,312800,2026-03-08,27,2026-03-30,Megha,Medium,Partial Payment,South,Miami,Agency,Starter Plan,Base subscription paid; onboarding fee or overage balance remains open,2026-04-06,https://missioncontrolhq.ai/
MC-AR-26-1044,Beacon Portfolio Services Amsterdam,352900,2026-03-23,12,2026-03-26,Karan,Low,Overdue,East,Amsterdam,VC Platform,Annual Enterprise,Customer requested revised invoice split across entities,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1045,Summit AI Studio Seattle,393000,2026-03-16,19,2026-04-01,Sana,Medium,Promise to Pay,West,Seattle,Enterprise Innovation,Onboarding Fee,Champion confirmed payment after PO or vendor onboarding completion,2026-04-05,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1046,Driftline Ventures London,118600,2026-03-17,18,2026-04-02,Vikram,High,Overdue,North,London,Startup,Starter Plan,Vendor onboarding blocked on tax or banking documents,,https://missioncontrolhq.ai/
MC-AR-26-1047,Catalyst Automation Singapore,158700,2026-03-14,21,2026-04-01,,Low,Overdue,South,Singapore,Mid-Market SaaS,Annual Enterprise,Card failure reported on renewal invoice; retry pending,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1048,SignalStack Cloud Sydney,198800,2026-03-11,24,2026-03-31,,Low,Overdue,East,Sydney,Agency,Onboarding Fee,Customer requested revised invoice split across entities,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1049,Altura Growth Studio San Francisco,244700,2026-03-08,27,2026-03-30,,Medium,Overdue,West,San Francisco,VC Platform,Starter Plan,Awaiting purchase order approval from finance ops,,https://missioncontrolhq.ai/
MC-AR-26-1050,Northstar RevOps New York,284800,2026-03-12,23,2026-03-29,Arjun,Medium,Partial Payment,North,New York,Enterprise Innovation,Annual Enterprise,Base subscription paid; onboarding fee or overage balance remains open,2026-04-07,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1051,Cascade Capital Austin,266900,2026-03-02,33,,Megha,High,Overdue,South,Austin,Startup,Onboarding Fee,Card failure reported on renewal invoice; retry pending,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1052,PixelForge Agency Berlin,307000,2026-02-20,43,2026-03-23,Karan,High,Disputed,East,Berlin,Mid-Market SaaS,Starter Plan,Usage overage or contract scope disputed while finance reviews agent-run logs,,https://missioncontrolhq.ai/
MC-AR-26-1053,Vector Labs Los Angeles,347100,2026-02-24,39,2026-03-26,Sana,Low,Overdue,West,Los Angeles,Agency,Annual Enterprise,Awaiting purchase order approval from finance ops,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1054,Apex GTM Systems Toronto,387200,2026-02-21,42,2026-03-25,Vikram,Low,Overdue,North,Toronto,VC Platform,Onboarding Fee,Vendor onboarding blocked on tax or banking documents,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1055,Orbit Product Ops Miami,176600,2026-02-18,45,2026-04-02,,Medium,Overdue,South,Miami,Enterprise Innovation,Starter Plan,Card failure reported on renewal invoice; retry pending,,https://missioncontrolhq.ai/
MC-AR-26-1056,Beacon Portfolio Services Amsterdam,158700,2026-03-18,17,2026-03-29,,Medium,Promise to Pay,East,Amsterdam,Startup,Annual Enterprise,Champion confirmed payment after PO or vendor onboarding completion,2026-04-08,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1057,Summit AI Studio Seattle,198800,2026-03-16,19,2026-03-28,,Medium,Partial Payment,West,Seattle,Mid-Market SaaS,Onboarding Fee,Base subscription paid; onboarding fee or overage balance remains open,2026-04-08,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1058,Driftline Ventures London,238900,2026-04-04,0,2026-04-03,Arjun,Low,Paid,North,London,Agency,Starter Plan,Closed after subscription remittance confirmation,,https://missioncontrolhq.ai/
MC-AR-26-1059,Catalyst Automation Singapore,279000,2026-03-19,16,2026-03-29,Megha,Low,Overdue,South,Singapore,VC Platform,Annual Enterprise,Card failure reported on renewal invoice; retry pending,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1060,SignalStack Cloud Sydney,319100,2026-03-16,19,2026-03-28,Karan,Low,Overdue,East,Sydney,Enterprise Innovation,Onboarding Fee,Customer requested revised invoice split across entities,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1061,Altura Growth Studio San Francisco,307000,2026-03-13,22,,Sana,High,Overdue,West,San Francisco,Startup,Starter Plan,Awaiting purchase order approval from finance ops,,https://missioncontrolhq.ai/
MC-AR-26-1062,Northstar RevOps New York,347100,2026-03-10,25,2026-03-26,Vikram,Low,Overdue,North,New York,Mid-Market SaaS,Annual Enterprise,Vendor onboarding blocked on tax or banking documents,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1063,Cascade Capital Austin,387200,2026-03-07,28,2026-03-25,,Low,Overdue,South,Austin,Agency,Onboarding Fee,Card failure reported on renewal invoice; retry pending,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1064,PixelForge Agency Berlin,170800,2026-03-09,26,2026-03-27,,Medium,Partial Payment,East,Berlin,VC Platform,Starter Plan,Base subscription paid; onboarding fee or overage balance remains open,2026-04-09,https://missioncontrolhq.ai/
MC-AR-26-1065,Vector Labs Los Angeles,210900,2026-03-01,34,2026-04-01,,Low,Overdue,West,Los Angeles,Enterprise Innovation,Annual Enterprise,Awaiting purchase order approval from finance ops,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1066,Apex GTM Systems Toronto,193000,2026-02-26,37,2026-03-31,Arjun,High,Overdue,North,Toronto,Startup,Onboarding Fee,Vendor onboarding blocked on tax or banking documents,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1067,Orbit Product Ops Miami,238900,2026-03-20,15,2026-03-30,Megha,Medium,Promise to Pay,South,Miami,Mid-Market SaaS,Starter Plan,Champion confirmed payment after PO or vendor onboarding completion,2026-04-07,https://missioncontrolhq.ai/
MC-AR-26-1068,Beacon Portfolio Services Amsterdam,279000,2026-02-20,43,2026-03-29,Karan,Low,Overdue,East,Amsterdam,Agency,Annual Enterprise,Customer requested revised invoice split across entities,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1069,Summit AI Studio Seattle,319100,2026-02-24,39,2026-03-21,Sana,High,Disputed,West,Seattle,VC Platform,Onboarding Fee,Usage overage or contract scope disputed while finance reviews agent-run logs,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1070,Driftline Ventures London,359200,2026-03-27,8,2026-03-27,Vikram,Medium,Overdue,North,London,Enterprise Innovation,Starter Plan,Vendor onboarding blocked on tax or banking documents,,https://missioncontrolhq.ai/
MC-AR-26-1071,Catalyst Automation Singapore,341300,2026-03-13,22,2026-03-26,,Medium,Partial Payment,South,Singapore,Startup,Annual Enterprise,Base subscription paid; onboarding fee or overage balance remains open,2026-04-10,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1072,SignalStack Cloud Sydney,381400,2026-03-21,14,2026-03-25,,Low,Overdue,East,Sydney,Mid-Market SaaS,Onboarding Fee,Customer requested revised invoice split across entities,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1073,Altura Growth Studio San Francisco,170800,2026-03-18,17,2026-04-02,,Medium,Overdue,West,San Francisco,Agency,Starter Plan,Awaiting purchase order approval from finance ops,,https://missioncontrolhq.ai/
MC-AR-26-1074,Northstar RevOps New York,210900,2026-03-15,20,2026-04-01,Arjun,Low,Overdue,North,New York,VC Platform,Annual Enterprise,Vendor onboarding blocked on tax or banking documents,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1075,Cascade Capital Austin,251000,2026-03-12,23,2026-03-31,Megha,Low,Overdue,South,Austin,Enterprise Innovation,Onboarding Fee,Card failure reported on renewal invoice; retry pending,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1076,PixelForge Agency Berlin,233100,2026-03-09,26,2026-03-30,Karan,High,Overdue,East,Berlin,Startup,Starter Plan,Customer requested revised invoice split across entities,,https://missioncontrolhq.ai/
MC-AR-26-1077,Vector Labs Los Angeles,273200,2026-04-04,0,2026-04-03,Sana,Low,Paid,West,Los Angeles,Mid-Market SaaS,Annual Enterprise,Closed after subscription remittance confirmation,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1078,Apex GTM Systems Toronto,313300,2026-03-09,26,2026-03-31,Vikram,Medium,Promise to Pay,North,Toronto,Agency,Onboarding Fee,Champion confirmed payment after PO or vendor onboarding completion,2026-04-06,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1079,Orbit Product Ops Miami,359200,2026-02-28,35,2026-03-27,,Medium,Overdue,South,Miami,VC Platform,Starter Plan,Card failure reported on renewal invoice; retry pending,,https://missioncontrolhq.ai/
MC-AR-26-1080,Beacon Portfolio Services Amsterdam,399300,2026-02-25,38,2026-03-26,,Low,Overdue,East,Amsterdam,Enterprise Innovation,Annual Enterprise,Customer requested revised invoice split across entities,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1081,Summit AI Studio Seattle,381400,2026-02-22,41,,,High,Overdue,West,Seattle,Startup,Onboarding Fee,Awaiting purchase order approval from finance ops,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1082,Driftline Ventures London,165000,2026-02-19,44,2026-04-02,Arjun,Medium,Overdue,North,London,Mid-Market SaaS,Starter Plan,Vendor onboarding blocked on tax or banking documents,,https://missioncontrolhq.ai/
MC-AR-26-1083,Catalyst Automation Singapore,205100,2026-03-29,6,2026-04-01,Megha,Low,Overdue,South,Singapore,Agency,Annual Enterprise,Card failure reported on renewal invoice; retry pending,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1084,SignalStack Cloud Sydney,245200,2026-03-26,9,2026-03-31,Karan,Low,Overdue,East,Sydney,VC Platform,Onboarding Fee,Customer requested revised invoice split across entities,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1085,Altura Growth Studio San Francisco,291100,2026-03-10,25,2026-03-30,Sana,Medium,Partial Payment,West,San Francisco,Enterprise Innovation,Starter Plan,Base subscription paid; onboarding fee or overage balance remains open,2026-04-06,https://missioncontrolhq.ai/
MC-AR-26-1086,Northstar RevOps New York,273200,2026-02-28,35,2026-03-24,Vikram,High,Disputed,North,New York,Startup,Annual Enterprise,Usage overage or contract scope disputed while finance reviews agent-run logs,,https://www.scamadviser.com/check-website/missioncontrolhq.ai
MC-AR-26-1087,Cascade Capital Austin,313300,2026-03-17,18,2026-03-28,,Low,Overdue,South,Austin,Mid-Market SaaS,Onboarding Fee,Card failure reported on renewal invoice; retry pending,,https://openclawmap.com/tools/mission-control-hq
MC-AR-26-1088,PixelForge Agency Berlin,353400,2026-03-14,21,2026-03-27,,Medium,Overdue,East,Berlin,Agency,Starter Plan,Customer requested revised invoice split across entities,,https://missioncontrolhq.ai/
MC-AR-26-1089,Vector Labs Los Angeles,393500,2026-03-11,24,2026-04-01,,Medium,Promise to Pay,West,Los Angeles,VC Platform,Annual Enterprise,Champion confirmed payment after PO or vendor onboarding completion,2026-04-05,https://www.scamadviser.com/check-website/missioncontrolhq.ai
